acceleration;frequency;boost;sensor;source_file;axis;Optimal_k;error_%;new_error_%;source_filename
5,8514038841;25;5.6;1;S;Y;0,9565000000;4,49;0,0559318725;1-s 25hz 5.6.csv
0,1024096335;32;0.098;1;S;Y;1,0027000000;0,08;0,0836810627;1-s 32hz 0.098.csv
1,0101862276;32;1;1;S;Y;1,0027000000;0,18;0,2306023288;1-s 32hz 1.csv
2,4924165819;32;2.5;1;S;Y;1,0027000000;0,14;0,0152480952;1-s 32hz 2.5.csv
3,9862844782;32;4;1;S;Y;1,0027000000;0,24;0,0527241734;1-s 32hz 4.csv
5,5720522295;32;5.6;1;S;Y;1,0027000000;0,5;0,2304148121;1-s 32hz 5.6.csv
0,1079427066;10;0.1;2;S;Y;0,9500000000;0,14;0,0454566298;2-s 10hz 0.1.csv
1,0566953528;10;1;2;S;Y;0,9500000000;1,01;0,0689390207;2-s 10hz 1.csv
2,6426934433;10;2.5;2;S;Y;0,9500000000;2,55;0,1885494845;2-s 10hz 2.5.csv
4,2318947787;10;4;2;S;Y;0,9500000000;4,14;0,3625007101;2-s 10hz 4.csv
5,9288026635;10;5.6;2;S;Y;0,9500000000;5,87;0,5779023272;2-s 10hz 5.6.csv
0,1139603862;16;0.1;2;S;Y;0,9500000000;0,25;0,1475422659;2-s 16hz 0.1.csv
1,0745154899;16;1;2;S;Y;0,9500000000;1,33;0,3712449179;2-s 16hz 1.csv
2,6589991572;16;2.5;2;S;Y;0,9500000000;2,84;0,4651642739;2-s 16hz 2.5.csv
4,2631515132;16;4;2;S;Y;0,9500000000;4,7;0,8927488846;2-s 16hz 4.csv
5,9705709174;16;5.6;2;S;Y;0,9500000000;6,62;1,2864709202;2-s 16hz 5.6.csv
0,1076265680;25;0.102;2;S;Y;0,9500000000;0,1;0,0043792786;2-s 25hz 0.102.csv
1,0583420561;25;1;2;S;Y;0,9500000000;1,04;0,0968741660;2-s 25hz 1.csv
